,type_appartement,nombre_pièces,nombre_chambres,surface,étage,terasse,ascenceur,prix_achat,credit,localisation,description
0,Appartement,4,2,104.0,,non défini,non défini,499000,2065,Lyon 3ème,La Guillotière Nord
1,Appartement,3,2,72.0,,non défini,non défini,449505,1861,Lyon 1er,Terreaux
2,Appartement,5,4,99.0,,non défini,non défini,410000,1699,Lyon 8ème,Transvaal
3,Appartement,3,2,61.0,,non défini,non défini,437000,1810,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
4,Appartement,4,3,129.0,,non défini,non défini,725000,2997,Lyon 7ème,"CHARME DE L'ANCIEN pour cet appartement de 129m² ! Secteur Guillotière - Idéalement situé à deux pas des berges du Rhône, à p"
5,Appartement,5,4,130.0,,non défini,non défini,1350000,5572,Lyon 6ème,Tête d'Or-Foch-Vitton
6,Appartement,3,2,69.0,,non défini,non défini,420000,1740,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
7,Appartement,4,3,86.0,,non défini,non défini,417000,1727,Lyon 3ème,Villette
8,Appartement,4,3,150.0,,non défini,non défini,749000,3095,Lyon 9ème,Vaise-Rochecardon-Industrie
9,Appartement,4,3,93.0,,non défini,non défini,345000,1431,Lyon 8ème,États-Unis
10,Appartement,2,1,47.0,,non défini,non défini,339000,1406,Lyon 1er,Croix Paquet
11,Appartement,4,3,94.0,,non défini,non défini,494400,2046,Lyon 4ème,Croix Rousse-Centre
12,Appartement,6,5,218.0,,non défini,non défini,1750000,7220,Lyon 2ème,Perrache-Le Confluent
13,Appartement,4,3,81.0,,non défini,non défini,364000,1509,Lyon 3ème,Villette
14,Appartement,2,1,57.0,,non défini,non défini,215000,895,Lyon 8ème,États-Unis
15,Appartement,2,1,72.0,,non défini,non défini,289000,1200,Lyon 1er,Croix Paquet
16,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 5ème,Champvert-Point du Jour-Saint Irénée
17,Appartement,4,3,123.0,,non défini,non défini,675000,2790,Lyon 7ème,Jean Macé
18,Appartement,2,1,74.0,,non défini,non défini,316800,1314,Lyon 3ème,Montchat
19,Appartement,4,3,83.0,,non défini,non défini,349000,1447,Lyon 3ème,Seulement chez Liberkeys. Appartement 4 pièces de 83.1m² avec balcon | Rue François Gillet | Lyon ** Visite virtuelle dispo
20,Appartement,4,2,71.0,,non défini,non défini,685000,2832,Lyon 4ème,Croix Rousse-Centre
21,Appartement,3,2,98.0,,non défini,non défini,559000,2312,Lyon 1er,Terreaux
22,Appartement,3,2,65.0,,non défini,non défini,335000,1389,Lyon 9ème,Vaise-Rochecardon-Industrie
23,Appartement,3,2,82.0,,non défini,non défini,399000,1653,Lyon 9ème,Vaise-Rochecardon-Industrie
24,Appartement,4,3,87.0,,non défini,non défini,325000,1348,Lyon 9ème,Saint Rambert
25,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 1er,Croix Paquet
26,Appartement,7,5,193.0,,non défini,non défini,1290000,5325,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
27,Appartement,3,2,69.0,,non défini,non défini,340000,1410,Lyon 7ème,Gerland
28,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 2ème,Perrache-Le Confluent
29,Appartement,4,1,85.0,,non défini,non défini,470000,1946,Lyon 1er,Saint Vincent
30,Appartement,5,3,146.0,,non défini,non défini,1050000,4336,Lyon 2ème,Cordeliers-Célestins-Bourse
31,Appartement,3,2,66.0,,non défini,non défini,319000,1324,Lyon 9ème,Vaise-Rochecardon-Industrie
32,Appartement,3,1,67.0,,non défini,non défini,450000,1863,Lyon 2ème,Perrache-Le Confluent
33,Appartement,4,3,82.0,,non défini,non défini,325000,1348,Lyon 9ème,Saint Rambert
34,Appartement,2,1,45.0,,non défini,non défini,195000,813,Lyon 3ème,Villette
35,Appartement,5,3,154.0,,non défini,non défini,1180000,4871,Lyon 6ème,Tête d'Or-Foch-Vitton
36,Appartement,5,4,98.0,,non défini,non défini,270000,1122,Lyon 5ème,Point du Jour-Ménival
37,Appartement,4,3,92.0,,non défini,non défini,760000,3141,Lyon 8ème,Monplaisir-Le Bachut
38,Appartement,5,4,130.0,,non défini,non défini,695000,2873,Lyon 1er,Saint Vincent
39,Appartement,5,3,104.0,,non défini,non défini,449000,1859,Lyon 3ème,Montchat
40,Appartement,3,2,78.0,,non défini,non défini,358000,1484,Lyon 3ème,Villette
41,Appartement,5,3,150.0,,non défini,non défini,1025000,4233,Lyon 3ème,Part Dieu
42,Appartement,4,2,84.0,,non défini,non défini,595000,2461,Lyon 2ème,Cordeliers-Célestins-Bourse
43,Appartement,4,3,77.0,,non défini,non défini,440000,1822,Lyon 3ème,Villette
44,Appartement,5,3,136.0,,non défini,non défini,1790000,7385,Lyon 2ème,Bellecour-Ainay
45,Appartement,3,2,66.0,,non défini,non défini,363000,1505,Lyon 4ème,Croix Rousse-Centre
46,Appartement,2,1,46.0,,non défini,non défini,315000,1307,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
47,Appartement,3,2,96.0,,non défini,non défini,275000,1142,Lyon 8ème,La Plaine
48,Appartement,4,2,91.0,,non défini,non défini,565000,2337,Lyon 5ème,Fourvière-Saint Just
49,Appartement,4,2,104.0,,non défini,non défini,499000,2065,Lyon 3ème,La Guillotière Nord
50,Appartement,3,2,72.0,,non défini,non défini,449505,1861,Lyon 1er,Terreaux
51,Appartement,5,4,99.0,,non défini,non défini,410000,1699,Lyon 8ème,Transvaal
52,Appartement,3,2,61.0,,non défini,non défini,437000,1810,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
53,Appartement,4,3,129.0,,non défini,non défini,725000,2997,Lyon 7ème,"CHARME DE L'ANCIEN pour cet appartement de 129m² ! Secteur Guillotière - Idéalement situé à deux pas des berges du Rhône, à p"
54,Appartement,4,3,98.0,,non défini,non défini,180000,751,Rillieux-la-Pape,Leclerc
55,Appartement,5,3,130.0,,non défini,non défini,570000,2358,Tassin-la-Demi-Lune,Tassin le Bourg
56,Appartement,6,5,218.0,,non défini,non défini,1750000,7220,Lyon 2ème,Perrache-Le Confluent
57,Appartement,4,3,87.0,,non défini,non défini,420000,1740,Écully,Le-Perollier
58,Appartement,3,2,69.0,,non défini,non défini,420000,1740,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
59,Appartement,3,2,78.0,,non défini,non défini,530000,2193,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
60,Appartement,4,2,106.0,,non défini,non défini,580000,2399,Lyon 4ème,Croix Rousse-Centre
61,Appartement,6,4,181.0,,non défini,non défini,1250000,5160,Lyon 3ème,Part Dieu
62,Appartement,3,2,66.0,,non défini,non défini,319000,1324,Lyon 1er,Croix Paquet
63,Appartement,2,1,60.0,,non défini,non défini,209000,870,Lyon 5ème,Champvert-Point du Jour-Saint Irénée
64,Appartement,2,1,52.0,,non défini,non défini,259000,1076,Lyon 4ème,Croix Rousse-Gros Caillou
65,Appartement,3,2,72.0,,non défini,non défini,340000,1410,Lyon 4ème,Croix Rousse-Centre
66,Appartement,5,3,170.0,,non défini,non défini,940000,3882,Lyon 1er,Croix Paquet
67,Appartement,3,2,61.0,,non défini,non défini,349400,1449,Lyon 7ème,Gerland
68,Appartement,2,1,53.0,,non défini,non défini,291700,1211,Lyon 7ème,"SUPER EMPLACEMENT ! A Lyon 7, venez découvrir ce beau T2 de 54 m² très lumineux situé à 300 m du métro Jean-Macé et à proximi"
69,Appartement,5,4,117.0,,non défini,non défini,800000,3306,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
70,Appartement,3,2,74.0,,non défini,non défini,388000,1608,Lyon 5ème,Point du Jour-Ménival
71,Appartement,3,2,68.0,,non défini,non défini,415000,1719,Lyon 8ème,Monplaisir-Le Bachut
72,Appartement,3,2,69.0,,non défini,non défini,442000,1830,Lyon 5ème,Fourvière-Saint Just
73,Appartement,5,4,131.0,,non défini,non défini,650000,2687,Lyon 4ème,Plateau de la Croix Rousse-Saône
74,Appartement,3,2,71.0,,non défini,non défini,430000,1781,Lyon 2ème,EXCLUSIVITÉ. LYON 1 rue des Capucins. Olivia Marrel vous propose ce T3 de 71 m² dans un immeuble ancien. Vaste pièce de vie a
75,Appartement,4,3,80.0,,non défini,non défini,525000,2172,Lyon 7ème,Gerland
76,Appartement,2,2,54.0,,non défini,non défini,350000,1451,Lyon 2ème,Perrache-Le Confluent
77,Appartement,4,3,77.0,,non défini,non défini,460000,1905,Lyon 6ème,Les Brotteaux-Bellecombe-Masséna
78,Appartement,4,3,92.0,,non défini,non défini,499500,2067,Lyon 3ème,Sans Souci-Dauphiné
79,Appartement,6,4,242.0,,non défini,non défini,1795000,7406,Lyon 2ème,Cordeliers-Célestins-Bourse
80,Appartement,3,2,65.0,,non défini,non défini,350000,Chavril,Contenu sponsorisé,Exclusivité
81,Appartement,3,2,65.0,,non défini,non défini,442000,1830,Lyon 5ème,Fourvière-Saint Just
82,Appartement,3,2,77.0,,non défini,non défini,515000,2131,Lyon 3ème,Part Dieu
83,Appartement,3,2,83.0,,non défini,non défini,315000,1307,Lyon 7ème,La Guillotière Sud
